Freq.	V(vout)
1.00000000000000e+00	(-2.60662891534035e-03dB,-6.28555647902350e-01°)
1.02329299228075e+00	(-2.09066367002102e-03dB,-6.43235407828976e-01°)
1.04712854805090e+00	(-1.55035209588667e-03dB,-6.58259884508811e-01°)
1.07151930523761e+00	(-9.84543923408055e-04dB,-6.73637306945608e-01°)
1.09647819614318e+00	(-3.92034395913933e-04dB,-6.89376110165123e-01°)
1.12201845430196e+00	(2.28438325102409e-04dB,-7.05484941048919e-01°)
1.14815362149688e+00	(8.78195879487644e-04dB,-7.21972664379267e-01°)
1.17489755493953e+00	(1.55862255899540e-03dB,-7.38848369105427e-01°)
1.20226443461741e+00	(2.27116829528054e-03dB,-7.56121374842494e-01°)
1.23026877081238e+00	(3.01735179213483e-03dB,-7.73801238614606e-01°)
1.25892541179417e+00	(3.79876380915955e-03dB,-7.91897761854872e-01°)
1.28824955169313e+00	(4.61707060420227e-03dB,-8.10420997675606e-01°)
1.31825673855641e+00	(5.47401754264891e-03dB,-8.29381258422883e-01°)
1.34896288259165e+00	(6.37143288171357e-03dB,-8.48789123530615e-01°)
1.38038426460288e+00	(7.31123173857943e-03dB,-8.68655447690236e-01°)
1.41253754462275e+00	(8.29542025145671e-03dB,-8.88991369353233e-01°)
1.44543977074593e+00	(9.32609994335108e-03dB,-9.09808319584851e-01°)
1.47910838816821e+00	(1.04054722986829e-02dB,-9.31118031288462e-01°)
1.51356124843621e+00	(1.15358435634161e-02dB,-9.52932548821631e-01°)
1.54881661891248e+00	(1.27196297802057e-02dB,-9.75264238026024e-01°)
1.58489319246111e+00	(1.39593620702248e-02dB,-9.98125796695253e-01°)
1.62181009735893e+00	(1.52576921744064e-02dB,-1.02153026550584e+00°)
1.65958690743756e+00	(1.66173982673352e-02dB,-1.04549103943887e+00°)
1.69824365246174e+00	(1.80413910576286e-02dB,-1.07002187972138e+00°)
1.73780082874937e+00	(1.95327201896855e-02dB,-1.09513692631867e+00°)
1.77827941003892e+00	(2.10945809622756e-02dB,-1.12085071101130e+00°)
1.81970085860998e+00	(2.27303213804271e-02dB,-1.14717817109211e+00°)
1.86208713666287e+00	(2.44434495578393e-02dB,-1.17413466372237e+00°)
1.90546071796325e+00	(2.62376414884078e-02dB,-1.20173598098775e+00°)
1.94984459975804e+00	(2.81167492057982e-02dB,-1.22999836569862e+00°)
1.99526231496888e+00	(3.00848093519778e-02dB,-1.25893852798224e+00°)
2.04173794466953e+00	(3.21460521759691e-02dB,-1.28857366271769e+00°)
2.08929613085404e+00	(3.43049109860000e-02dB,-1.31892146786847e+00°)
2.13796208950223e+00	(3.65660320791049e-02dB,-1.35000016377165e+00°)
2.18776162394955e+00	(3.89342851739220e-02dB,-1.38182851344717e+00°)
2.23872113856834e+00	(4.14147743738588e-02dB,-1.41442584399533e+00°)
2.29086765276777e+00	(4.40128496894346e-02dB,-1.44781206915580e+00°)
2.34422881531992e+00	(4.67341191503587e-02dB,-1.48200771310781e+00°)
2.39883291901949e+00	(4.95844615397243e-02dB,-1.51703393559620e+00°)
2.45470891568503e+00	(5.25700397847807e-02dB,-1.55291255847569e+00°)
2.51188643150958e+00	(5.56973150407674e-02dB,-1.58966609377257e+00°)
2.57039578276886e+00	(5.89730615066907e-02dB,-1.62731777337062e+00°)
2.63026799189538e+00	(6.24043820141806e-02dB,-1.66589158043772e+00°)
2.69153480392691e+00	(6.59987244335136e-02dB,-1.70541228271715e+00°)
2.75422870333816e+00	(6.97638989433291e-02dB,-1.74590546781988e+00°)
2.81838293126445e+00	(7.37080962139662e-02dB,-1.78739758066336e+00°)
2.88403150312660e+00	(7.78399065572964e-02dB,-1.82991596321591e+00°)
2.95120922666638e+00	(8.21683400996498e-02dB,-1.87348889671778e+00°)
3.01995172040201e+00	(8.67028480381694e-02dB,-1.91814564656548e+00°)
3.09029543251359e+00	(9.14533450449253e-02dB,-1.96391651006092e+00°)
3.16227766016837e+00	(9.64302328876099e-02dB,-2.01083286724467e+00°)
3.23593656929628e+00	(1.01644425340404e-01dB,-2.05892723505138e+00°)
3.31131121482591e+00	(1.07107374463647e-01dB,-2.10823332504602e+00°)
3.38844156139202e+00	(1.12831098336532e-01dB,-2.15878610502276e+00°)
3.46736850452531e+00	(1.18828210333165e-01dB,-2.21062186477292e+00°)
3.54813389233575e+00	(1.25111950038744e-01dB,-2.26377828635560e+00°)
3.63078054770101e+00	(1.31696215909642e-01dB,-2.31829451923580e+00°)
3.71535229097172e+00	(1.38595599788967e-01dB,-2.37421126068704e+00°)
3.80189396320560e+00	(1.45825423397489e-01dB,-2.43157084189276e+00°)
3.89045144994280e+00	(1.53401776928826e-01dB,-2.49041732022083e+00°)
3.98107170553496e+00	(1.61341559887657e-01dB,-2.55079657819093e+00°)
4.07380277804112e+00	(1.69662524320563e-01dB,-2.61275642970288e+00°)
4.16869383470335e+00	(1.78383320600721e-01dB,-2.67634673414990e+00°)
4.26579518801592e+00	(1.87523545940611e-01dB,-2.74161951910038e+00°)
4.36515832240165e+00	(1.97103795820644e-01dB,-2.80862911229987e+00°)
4.46683592150962e+00	(2.07145718537134e-01dB,-2.87743228381919e+00°)
4.57088189614874e+00	(2.17672073089717e-01dB,-2.94808839925822e+00°)
4.67735141287197e+00	(2.28706790646609e-01dB,-3.02065958500690e+00°)
4.78630092322637e+00	(2.40275039846170e-01dB,-3.09521090666906e+00°)
4.89778819368445e+00	(2.52403296215523e-01dB,-3.17181056186962e+00°)
5.01187233627271e+00	(2.65119416011094e-01dB,-3.25053008879417e+00°)
5.12861383991364e+00	(2.78452714812595e-01dB,-3.33144459195606e+00°)
5.24807460249771e+00	(2.92434051231667e-01dB,-3.41463298684573e+00°)
5.37031796370252e+00	(3.07095916128541e-01dB,-3.50017826530112e+00°)
5.49540873857623e+00	(3.22472527766066e-01dB,-3.58816778364066e+00°)
5.62341325190348e+00	(3.38599933369952e-01dB,-3.67869357583256e+00°)
5.75439937337156e+00	(3.55516117607845e-01dB,-3.77185269423220e+00°)
5.88843655355588e+00	(3.73261118548357e-01dB,-3.86774758071487e+00°)
6.02559586074356e+00	(3.91877151714891e-01dB,-3.96648647136180e+00°)
6.16595001861481e+00	(4.11408742908574e-01dB,-4.06818383823601e+00°)
6.30957344480192e+00	(4.31902870541237e-01dB,-4.17296087221122e+00°)
