Freq.	V(vout2)
1.00000000000000e+00	(-4.16330862360406e-02dB,-6.41702154430056e-01°)
1.02329299228075e+00	(-4.12679468563163e-02dB,-6.56677570692476e-01°)
1.04712854805090e+00	(-4.08855849326849e-02dB,-6.72003832383667e-01°)
1.07151930523761e+00	(-4.04851874347286e-02dB,-6.87689256750108e-01°)
1.09647819614318e+00	(-4.00659028840790e-02dB,-7.03742365180592e-01°)
1.12201845430196e+00	(-3.96268395297092e-02dB,-7.20171888710364e-01°)
1.14815362149688e+00	(-3.91670634360554e-02dB,-7.36986773707626e-01°)
1.17489755493953e+00	(-3.86855964797258e-02dB,-7.54196187750585e-01°)
1.20226443461741e+00	(-3.81814142502378e-02dB,-7.71809525703698e-01°)
1.23026877081238e+00	(-3.76534438503011e-02dB,-7.89836416002326e-01°)
1.25892541179417e+00	(-3.71005615905928e-02dB,-8.08286727155515e-01°)
1.28824955169313e+00	(-3.65215905739591e-02dB,-8.27170574477207e-01°)
1.31825673855641e+00	(-3.59152981636573e-02dB,-8.46498327056879e-01°)
1.34896288259165e+00	(-3.52803933299004e-02dB,-8.66280614981209e-01°)
1.38038426460288e+00	(-3.46155238688362e-02dB,-8.86528336819103e-01°)
1.41253754462275e+00	(-3.39192734875550e-02dB,-9.07252667383199e-01°)
1.44543977074593e+00	(-3.31901587487616e-02dB,-9.28465065781842e-01°)
1.47910838816821e+00	(-3.24266258679265e-02dB,-9.50177283776281e-01°)
1.51356124843621e+00	(-3.16270473558845e-02dB,-9.72401374458942e-01°)
1.54881661891248e+00	(-3.07897184990354e-02dB,-9.95149701269478e-01°)
1.58489319246111e+00	(-2.99128536693041e-02dB,-1.01843494736666e+00°)
1.62181009735893e+00	(-2.89945824551452e-02dB,-1.04227012537492e+00°)
1.65958690743756e+00	(-2.80329456049377e-02dB,-1.06666858752608e+00°)
1.69824365246174e+00	(-2.70258907732227e-02dB,-1.09164403621786e+00°)
1.73780082874937e+00	(-2.59712680600137e-02dB,-1.11721053501227e+00°)
1.77827941003892e+00	(-2.48668253327748e-02dB,-1.14338252009863e+00°)
1.81970085860998e+00	(-2.37102033200746e-02dB,-1.17017481224741e+00°)
1.86208713666287e+00	(-2.24989304655057e-02dB,-1.19760262928338e+00°)
1.90546071796325e+00	(-2.12304175296527e-02dB,-1.22568159910785e+00°)
1.94984459975804e+00	(-1.99019519273066e-02dB,-1.25442777330230e+00°)
1.99526231496888e+00	(-1.85106917865461e-02dB,-1.28385764134798e+00°)
2.04173794466953e+00	(-1.70536597153620e-02dB,-1.31398814549822e+00°)
2.08929613085404e+00	(-1.55277362608505e-02dB,-1.34483669634281e+00°)
2.13796208950223e+00	(-1.39296530452371e-02dB,-1.37642118910707e+00°)
2.18776162394955e+00	(-1.22559855619332e-02dB,-1.40876002073069e+00°)
2.23872113856834e+00	(-1.05031456140469e-02dB,-1.44187210777495e+00°)
2.29086765276777e+00	(-8.66737337674801e-03dB,-1.47577690521067e+00°)
2.34422881531992e+00	(-6.74472906378139e-03dB,-1.51049442614259e+00°)
2.39883291901949e+00	(-4.73108417737018e-03dB,-1.54604526253056e+00°)
2.45470891568503e+00	(-2.62211231951540e-03dB,-1.58245060697174e+00°)
2.51188643150958e+00	(-4.13279541485954e-04dB,-1.61973227561367e+00°)
2.57039578276886e+00	(1.90016579310206e-03dB,-1.65791273227240e+00°)
2.63026799189538e+00	(4.32320365771027e-03dB,-1.69701511383609e+00°)
2.69153480392691e+00	(6.86105355226700e-03dB,-1.73706325704065e+00°)
2.75422870333816e+00	(9.51918626175726e-03dB,-1.77808172671022e+00°)
2.81838293126445e+00	(1.23033362150282e-02dB,-1.82009584556287e+00°)
2.88403150312660e+00	(1.52195144765549e-02dB,-1.86313172568951e+00°)
2.95120922666638e+00	(1.82740224059489e-02dB,-1.90721630182273e+00°)
3.01995172040201e+00	(2.14734660222949e-02dB,-1.95237736652117e+00°)
3.09029543251359e+00	(2.48247711124385e-02dB,-1.99864360740528e+00°)
3.16227766016837e+00	(2.83351991249694e-02dB,-2.04604464659136e+00°)
3.23593656929628e+00	(3.20123638942211e-02dB,-2.09461108248231e+00°)
3.31131121482591e+00	(3.58642492414388e-02dB,-2.14437453408667e+00°)
3.38844156139202e+00	(3.98992275032891e-02dB,-2.19536768805173e+00°)
3.46736850452531e+00	(4.41260790411420e-02dB,-2.24762434861172e+00°)
3.54813389233575e+00	(4.85540127880371e-02dB,-2.30117949066896e+00°)
3.63078054770101e+00	(5.31926878941199e-02dB,-2.35606931624417e+00°)
3.71535229097172e+00	(5.80522365351365e-02dB,-2.41233131455244e+00°)
3.80189396320560e+00	(6.31432879533176e-02dB,-2.47000432598296e+00°)
3.89045144994280e+00	(6.84769938043110e-02dB,-2.52912861028524e+00°)
3.98107170553496e+00	(7.40650548891696e-02dB,-2.58974591929026e+00°)
4.07380277804112e+00	(7.99197493558650e-02dB,-2.65189957452467e+00°)
4.16869383470335e+00	(8.60539624605670e-02dB,-2.71563455010749e+00°)
4.26579518801592e+00	(9.24812179855493e-02dB,-2.78099756135397e+00°)
4.36515832240165e+00	(9.92157114175167e-02dB,-2.84803715954955e+00°)
4.46683592150962e+00	(1.06272344997486e-01dB,-2.91680383339969e+00°)
4.57088189614874e+00	(1.13666764761911e-01dB,-2.98735011770749e+00°)
4.67735141287197e+00	(1.21415399703134e-01dB,-3.05973070988302e+00°)
4.78630092322637e+00	(1.29535503187361e-01dB,-3.13400259494540e+00°)
4.89778819368445e+00	(1.38045196778497e-01dB,-3.21022517974095e+00°)
5.01187233627271e+00	(1.46963516627773e-01dB,-3.28846043717160e+00°)
5.12861383991364e+00	(1.56310462601448e-01dB,-3.36877306130423e+00°)
5.24807460249771e+00	(1.66107050332333e-01dB,-3.45123063431789e+00°)
5.37031796370252e+00	(1.76375366395843e-01dB,-3.53590380634146e+00°)
5.49540873857623e+00	(1.87138626827196e-01dB,-3.62286648933953e+00°)
5.62341325190348e+00	(1.98421239214157e-01dB,-3.71219606632395e+00°)
5.75439937337156e+00	(2.10248868618789e-01dB,-3.80397361729893e+00°)
5.88843655355588e+00	(2.22648507603045e-01dB,-3.89828416349564e+00°)
6.02559586074356e+00	(2.35648550655771e-01dB,-3.99521693161672e+00°)
6.16595001861481e+00	(2.49278873344267e-01dB,-4.09486563999538e+00°)
6.30957344480192e+00	(2.63570916541277e-01dB,-4.19732880878056e+00°)
6.45654229034654e+00	(2.78557776108589e-01dB,-4.30271009649157e+00°)
6.60693448007594e+00	(2.94274298452234e-01dB,-4.41111866554735e+00°)
6.76082975391980e+00	(3.10757182400827e-01dB,-4.52266957966840e+00°)
6.91830970918935e+00	(3.28045087899327e-01dB,-4.63748423638224e+00°)
7.07945784384136e+00	(3.46178752055142e-01dB,-4.75569083823736e+00°)
