Freq.	V(vout2)
1.00000000000000e+00	(5.81694185374492e-03dB,-3.78746648629283e+00°)
1.02329299228075e+00	(6.37604046267815e-03dB,-3.87607105396663e+00°)
1.04712854805090e+00	(6.96130427481612e-03dB,-3.96676690627539e+00°)
1.07151930523761e+00	(7.57394854387221e-03dB,-4.05960471856305e+00°)
1.09647819614318e+00	(8.21524405838199e-03dB,-4.15463648719846e+00°)
1.12201845430196e+00	(8.88651958927144e-03dB,-4.25191557043405e+00°)
1.14815362149688e+00	(9.58916443604057e-03dB,-4.35149673094120e+00°)
1.17489755493953e+00	(1.03246310746053e-02dB,-4.45343618011332e+00°)
1.20226443461741e+00	(1.10944379098212e-02dB,-4.55779162423419e+00°)
1.23026877081238e+00	(1.19001721354811e-02dB,-4.66462231261485e+00°)
1.25892541179417e+00	(1.27434927048619e-02dB,-4.77398908780929e+00°)
1.28824955169313e+00	(1.36261334143550e-02dB,-4.88595443802652e+00°)
1.31825673855641e+00	(1.45499061030266e-02dB,-5.00058255186428e+00°)
1.34896288259165e+00	(1.55167039705427e-02dB,-5.11793937549768e+00°)
1.38038426460288e+00	(1.65285050157816e-02dB,-5.23809267246549e+00°)
1.41253754462275e+00	(1.75873755982998e-02dB,-5.36111208620560e+00°)
1.44543977074593e+00	(1.86954741244490e-02dB,-5.48706920550189e+00°)
1.47910838816821e+00	(1.98550548597121e-02dB,-5.61603763301536e+00°)
1.51356124843621e+00	(2.10684718683751e-02dB,-5.74809305708397e+00°)
1.54881661891248e+00	(2.23381830813077e-02dB,-5.88331332698837e+00°)
1.58489319246111e+00	(2.36667544920076e-02dB,-6.02177853189368e+00°)
1.62181009735893e+00	(2.50568644806020e-02dB,-6.16357108369205e+00°)
1.65958690743756e+00	(2.65113082646146e-02dB,-6.30877580398612e+00°)
1.69824365246174e+00	(2.80330024748057e-02dB,-6.45748001546940e+00°)
1.73780082874937e+00	(2.96249898531724e-02dB,-6.60977363797774e+00°)
1.77827941003892e+00	(3.12904440694471e-02dB,-6.76574928950451e+00°)
1.81970085860998e+00	(3.30326746510204e-02dB,-6.92550239249224e+00°)
1.86208713666287e+00	(3.48551320200575e-02dB,-7.08913128573515e+00°)
1.90546071796325e+00	(3.67614126298969e-02dB,-7.25673734224998e+00°)
1.94984459975804e+00	(3.87552641912688e-02dB,-7.42842509349718e+00°)
1.99526231496888e+00	(4.08405909765367e-02dB,-7.60430236036114e+00°)
2.04173794466953e+00	(4.30214591886292e-02dB,-7.78448039132594e+00°)
2.08929613085404e+00	(4.53021023779044e-02dB,-7.96907400831408e+00°)
2.13796208950223e+00	(4.76869268882400e-02dB,-8.15820176068719e+00°)
2.18776162394955e+00	(5.01805173096973e-02dB,-8.35198608794300e+00°)
2.23872113856834e+00	(5.27876419121497e-02dB,-8.55055349167922e+00°)
2.29086765276777e+00	(5.55132580296253e-02dB,-8.75403471743499e+00°)
2.34422881531992e+00	(5.83625173609014e-02dB,-8.96256494706228e+00°)
2.39883291901949e+00	(6.13407711466378e-02dB,-9.17628400232509e+00°)
2.45470891568503e+00	(6.44535751774648e-02dB,-9.39533656047169e+00°)
2.51188643150958e+00	(6.77066945811345e-02dB,-9.61987238257687e+00°)
2.57039578276886e+00	(7.11061083290570e-02dB,-9.85004655550556e+00°)
2.63026799189538e+00	(7.46580133950559e-02dB,-1.00860197484066e+01°)
2.69153480392691e+00	(7.83688284891775e-02dB,-1.03279584847077e+01°)
2.75422870333816e+00	(8.22451972794831e-02dB,-1.05760354306478e+01°)
2.81838293126445e+00	(8.62939910029497e-02dB,-1.08304297014520e+01°)
2.88403150312660e+00	(9.05223103535517e-02dB,-1.10913271863275e+01°)
2.95120922666638e+00	(9.49374865208201e-02dB,-1.13589208935381e+01°)
3.01995172040201e+00	(9.95470812358810e-02dB,-1.16334113168927e+01°)
3.09029543251359e+00	(1.04358885663298e-01dB,-1.19150068250726e+01°)
3.16227766016837e+00	(1.09380917956373e-01dB,-1.22039240753108e+01°)
3.23593656929628e+00	(1.14621419270306e-01dB,-1.25003884530291e+01°)
3.31131121482591e+00	(1.20088848001433e-01dB,-1.28046345391386e+01°)
3.38844156139202e+00	(1.25791871991468e-01dB,-1.31169066068068e+01°)
3.46736850452531e+00	(1.31739358402765e-01dB,-1.34374591496018e+01°)
3.54813389233575e+00	(1.37940360933879e-01dB,-1.37665574430262e+01°)
3.63078054770101e+00	(1.44404104003123e-01dB,-1.41044781415630e+01°)
3.71535229097172e+00	(1.51139963481569e-01dB,-1.44515099134605e+01°)
3.80189396320560e+00	(1.58157443505070e-01dB,-1.48079541155892e+01°)
3.89045144994280e+00	(1.65466148836170e-01dB,-1.51741255108059e+01°)
3.98107170553496e+00	(1.73075752182005e-01dB,-1.55503530303542e+01°)
4.07380277804112e+00	(1.80995955800720e-01dB,-1.59369805839174e+01°)
4.16869383470335e+00	(1.89236446647107e-01dB,-1.63343679200137e+01°)
4.26579518801592e+00	(1.97806844216574e-01dB,-1.67428915394753e+01°)
4.36515832240165e+00	(2.06716640143891e-01dB,-1.71629456647887e+01°)
4.46683592150962e+00	(2.15975128498604e-01dB,-1.75949432680697e+01°)
4.57088189614874e+00	(2.25591325590932e-01dB,-1.80393171604082e+01°)
4.67735141287197e+00	(2.35573877959343e-01dB,-1.84965211452276e+01°)
4.78630092322637e+00	(2.45930957051699e-01dB,-1.89670312381500e+01°)
4.89778819368445e+00	(2.56670138935214e-01dB,-1.94513469556241e+01°)
5.01187233627271e+00	(2.67798267173649e-01dB,-1.99499926742457e+01°)
5.12861383991364e+00	(2.79321296792589e-01dB,-2.04635190622451e+01°)
5.24807460249771e+00	(2.91244117012809e-01dB,-2.09925045840242e+01°)
5.37031796370252e+00	(3.03570350166263e-01dB,-2.15375570778444e+01°)
5.49540873857623e+00	(3.16302123917880e-01dB,-2.20993154057750e+01°)
5.62341325190348e+00	(3.29439813596946e-01dB,-2.26784511737576e+01°)
5.75439937337156e+00	(3.42981751095109e-01dB,-2.32756705180658e+01°)
5.88843655355588e+00	(3.56923896411752e-01dB,-2.38917159524951e+01°)
6.02559586074356e+00	(3.71259467523994e-01dB,-2.45273682682115e+01°)
6.16595001861481e+00	(3.85978523828598e-01dB,-2.51834484752523e+01°)
6.30957344480192e+00	(4.01067497950443e-01dB,-2.58608197710947e+01°)
6.45654229034654e+00	(4.16508670242561e-01dB,-2.65603895173828e+01°)
6.60693448007594e+00	(4.32279579824546e-01dB,-2.72831112006998e+01°)
6.76082975391980e+00	(4.48352365531422e-01dB,-2.80299863470368e+01°)
6.91830970918935e+00	(4.64693029691297e-01dB,-2.88020663521901e+01°)
7.07945784384136e+00	(4.81260617240209e-01dB,-2.96004541815245e+01°)
7.24435960074988e+00	(4.98006302347371e-01dB,-3.04263058821850e+01°)
7.41310241300916e+00	(5.14872374503745e-01dB,-3.12808318387239e+01°)
7.58577575029182e+00	(5.31791115974836e-01dB,-3.21652976890146e+01°)
7.76247116628690e+00	(5.48683562698667e-01dB,-3.30810248010830e+01°)
7.94328234724279e+00	(5.65458141208401e-01dB,-3.40293901929046e+01°)
8.12830516164097e+00	(5.82009175075859e-01dB,-3.50118257562007e+01°)
8.31763771102669e+00	(5.98215255835438e-01dB,-3.60298166217802e+01°)
8.51138038202374e+00	(6.13937475505861e-01dB,-3.70848984781232e+01°)
8.70963589956078e+00	(6.29017520858453e-01dB,-3.81786536269710e+01°)
8.91250938133743e+00	(6.43275633688404e-01dB,-3.93127055302546e+01°)
9.12010839355907e+00	(6.56508446757549e-01dB,-4.04887115726423e+01°)
9.33254300796988e+00	(6.68486712040061e-01dB,-4.17083537347416e+01°)
